month,county_join,county_label,state_join,state_label,settlement_count,assessment_count,,,,,
2019-12-01,AweilNorth,Aweil North,NorthernBahrelGhazal,Northern Bahr el Ghazal,352,55,,,,,
2019-12-01,AweilSouth,Aweil South,NorthernBahrelGhazal,Northern Bahr el Ghazal,316,27,,,,,
2019-12-01,AweilWest,Aweil West,NorthernBahrelGhazal,Northern Bahr el Ghazal,370,41,,,,,
2019-12-01,Abiemnhom,Abiemnhom,Unity,Unity,23,9,,,,,
2019-12-01,Guit,Guit,Unity,Unity,194,14,,,,,
2019-12-01,Koch,Koch,Unity,Unity,437,38,,,,,
2019-12-01,Leer,Leer,Unity,Unity,346,28,,,,,
2019-12-01,Mayendit,Mayendit,Unity,Unity,367,36,,,,,
2019-12-01,Mayom,Mayom,Unity,Unity,163,21,,,,,
2019-12-01,Panyijiar,Panyijiar,Unity,Unity,479,29,,,,,
2019-12-01,Pariang,Pariang,Unity,Unity,183,48,,,,,
2019-12-01,Rubkona,Rubkona,Unity,Unity,289,26,,,,,
2019-12-01,Baliet,Baliet,UpperNile,Upper Nile,130,16,,,,,
2019-12-01,Fashoda,Fashoda,UpperNile,Upper Nile,199,6,,,,,
2019-12-01,Longochuk,Longochuk,UpperNile,Upper Nile,101,0,,,,,
2019-12-01,LuakpinyNasir,Luakpiny/Nasir,UpperNile,Upper Nile,156,21,,,,,
2019-12-01,Maban,Maban,UpperNile,Upper Nile,123,13,,,,,
2019-12-01,Maiwut,Maiwut,UpperNile,Upper Nile,82,0,,,,,
2019-12-01,Malakal,Malakal,UpperNile,Upper Nile,121,18,,,,,
2019-12-01,Manyo,Manyo,UpperNile,Upper Nile,81,10,,,,,
2019-12-01,Melut,Melut,UpperNile,Upper Nile,220,29,,,,,
2019-12-01,Panyikang,Panyikang,UpperNile,Upper Nile,98,8,,,,,
2019-12-01,Renk,Renk,UpperNile,Upper Nile,287,39,,,,,
2019-12-01,Ulang,Ulang,UpperNile,Upper Nile,139,28,,,,,
2019-12-01,GogrialEast,Gogrial East,Warrap,Warrap,256,19,,,,,
2019-12-01,GogrialWest,Gogrial West,Warrap,Warrap,355,28,,,,,
2019-12-01,TonjEast,Tonj East,Warrap,Warrap,73,9,,,,,
2019-12-01,TonjNorth,Tonj North,Warrap,Warrap,378,38,,,,,
2019-12-01,TonjSouth,Tonj South,Warrap,Warrap,91,14,,,,,
2019-12-01,Twic,Twic,Warrap,Warrap,355,35,,,,,
2019-12-01,JurRiver,Jur River,WesternBahrelGhazal,Western Bahr el Ghazal,812,80,,,,,
2019-12-01,Raja,Raja,WesternBahrelGhazal,Western Bahr el Ghazal,345,38,,,,,
2019-12-01,Wau,Wau,WesternBahrelGhazal,Western Bahr el Ghazal,345,53,,,,,
2019-12-01,Ezo,Ezo,WesternEquatoria,Western Equatoria,139,13,,,,,
2019-12-01,Ibba,Ibba,WesternEquatoria,Western Equatoria,89,13,,,,,
2019-12-01,Maridi,Maridi,WesternEquatoria,Western Equatoria,215,14,,,,,
2019-12-01,MundriEast,Mundri East,WesternEquatoria,Western Equatoria,121,11,,,,,
2019-12-01,MundriWest,Mundri West,WesternEquatoria,Western Equatoria,163,9,,,,,
2019-12-01,Mvolo,Mvolo,WesternEquatoria,Western Equatoria,145,10,,,,,
2019-12-01,Nagero,Nagero,WesternEquatoria,Western Equatoria,46,6,,,,,
2019-12-01,Nzara,Nzara,WesternEquatoria,Western Equatoria,144,17,,,,,
2019-12-01,Tambura,Tambura,WesternEquatoria,Western Equatoria,169,14,,,,,
2019-12-01,Yambio,Yambio,WesternEquatoria,Western Equatoria,215,16,,,,,
